Data File Name,2100 expert_High Sensitivity DNA Assay_DE72901941_2012-02-21_17-32-30.xad
Data File Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\data\2012-02-21
Date Created,"Tuesday, February 21, 2012 8:32:30 AM"
Date Last Modified,"Tuesday, February 21, 2012 9:00:42 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,6
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,-8.228839E-02
32.05,-7.453055E-02
32.1,-4.980263E-02
32.15,1.743919E-02
32.2,4.254647E-04
32.25,4.345035E-03
32.3,0.0206166
32.35,3.041253E-02
32.4,0.1027915
32.45,0.1339956
32.5,0.1192003
32.55,6.467043E-02
32.6,3.402393E-03
32.65,-7.052229E-02
32.7,-7.563983E-02
32.75,-3.921151E-02
32.8,-1.613952E-02
32.85,2.223685E-02
32.9,0.1022278
32.95,0.1745884
33,0.2056239
33.05,0.2374721
33.1,0.2584577
33.15,0.2310677
33.2,0.254822
33.25,0.2331732
33.3,0.176623
33.35,0.1832202
33.4,0.1760705
33.45,0.1950194
33.5,0.1716489
33.55,9.458475E-02
33.6,2.472279E-02
33.65,9.224727E-03
33.7,-7.477796E-03
33.75,6.368921E-02
33.8,0.2241735
33.85,0.2661443
33.9,0.2327095
33.95,0.2201293
34,0.1966094
34.05,0.2068721
34.1,0.301474
34.15,0.3016033
34.2,0.2961332
34.25,0.2494835
34.3,0.1856813
34.35,0.162274
34.4,0.119237
34.45,0.1169408
34.5,0.184695
34.55,0.2300984
34.6,0.2562087
34.65,0.3103314
34.7,0.2743747
34.75,0.1767353
34.8,0.10009
34.85,6.023188E-02
34.9,8.743726E-02
34.95,0.2175767
35,0.2035753
35.05,0.1407211
35.1,0.0756772
35.15,5.685643E-02
35.2,7.714614E-02
35.25,0.1803693
35.3,0.3645793
35.35,0.4604692
35.4,0.4415807
35.45,0.4271653
35.5,0.3992963
35.55,0.4231595
35.6,0.4739101
35.65,0.5294474
35.7,0.4694494
35.75,0.3635702
35.8,0.3354037
35.85,0.2724703
35.9,0.282139
35.95,0.3353269
36,0.4355518
36.05,0.4882935
36.1,0.4172856
36.15,0.3981419
36.2,0.3779931
36.25,0.4860939
36.3,0.5705703
36.35,0.623536
36.4,0.6575724
36.45,0.617513
36.5,0.6121911
36.55,0.6079744
36.6,0.6624
36.65,0.7615832
36.7,0.753077
36.75,0.7868021
36.8,0.7786795
36.85,0.7277319
36.9,0.7093737
36.95,0.7097672
37,0.7608817
37.05,0.7197641
37.1,0.8514989
37.15,0.8981735
