Data File Name,2100 expert_High Sensitivity DNA Assay_DE72901941_2012-02-21_17-32-30.xad
Data File Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\data\2012-02-21
Date Created,"Tuesday, February 21, 2012 8:32:30 AM"
Date Last Modified,"Tuesday, February 21, 2012 9:00:42 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.03
 
Number of Samples Run,6
 
Sample Name,sample1
Number of Events,2121
 
Time,Value
32,7.118225E-02
32.05,7.118225E-02
32.1,7.118225E-02
32.15,7.118225E-02
32.2,7.118225E-02
32.25,7.118225E-02
32.3,7.118225E-02
32.35,7.118225E-02
32.4,7.118225E-02
32.45,7.118225E-02
32.5,7.118225E-02
32.55,7.118225E-02
32.6,7.118225E-02
32.65,7.118225E-02
32.7,7.118225E-02
32.75,7.118225E-02
32.8,9.576369E-02
32.85,-9.369067E-03
32.9,-0.125
32.95,-0.1921527
33,-9.901256E-02
33.05,3.167909E-02
33.1,0.0135112
33.15,-0.1230322
33.2,-0.2402087
33.25,-0.1061664
33.3,6.779099E-02
33.35,0.256048
33.4,0.3507613
33.45,0.2904253
33.5,0.1092315
33.55,-2.466781E-02
33.6,-7.824552E-02
33.65,-9.069964E-02
33.7,-0.2103106
33.75,-0.1677713
33.8,-1.324562E-02
33.85,3.541119E-03
33.9,-8.466558E-02
33.95,-0.1750482
34,-0.3455613
34.05,-0.5270892
34.1,-0.5185426
34.15,-0.3330954
34.2,-0.1747369
34.25,-6.057914E-02
34.3,0.1413558
34.35,0.3008731
34.4,0.5066037
34.45,0.6068338
34.5,0.4701958
34.55,0.2414188
34.6,2.183669E-02
34.65,-3.442615E-02
34.7,3.698072E-02
34.75,0.1703794
34.8,0.2050834
34.85,0.1068609
34.9,-6.387929E-02
34.95,-0.2146191
35,-0.3373061
35.05,-0.3505703
35.1,-0.2779371
35.15,-0.21271
35.2,-0.1683127
35.25,-0.1929035
35.3,-0.2199091
35.35,-0.3515971
35.4,-0.4731032
35.45,-0.553797
35.5,-0.546052
35.55,-0.4152873
35.6,-0.300299
35.65,-0.238563
35.7,-0.2799055
35.75,-0.344343
35.8,-0.431015
35.85,-0.4662525
35.9,-0.465658
35.95,-0.5195461
36,-0.5519989
36.05,-0.5531158
36.1,-0.5465755
36.15,-0.5996091
36.2,-0.6088442
36.25,-0.5831407
36.3,-0.5241134
36.35,-0.30624
36.4,-0.1703063
36.45,-9.279898E-02
36.5,-0.122566
36.55,-0.240797
36.6,-0.2516754
36.65,-0.2831981
36.7,-0.1995801
36.75,-0.1787388
